district,record_date,weather_condition,rainfall,temperature,humidity,wind_speed,previous_cases,actual_cases
เมืองชลบุรี,2023-01-02,แจ่มใส,0.0,28.3,66.4,8.0,12,17
เมืองชลบุรี,2023-01-09,มีเมฆบางส่วน,31.7,28.8,71.8,10.6,17,25
เมืองชลบุรี,2023-01-16,แจ่มใส,0.0,28.5,63.2,10.0,25,23
เมืองชลบุรี,2023-01-23,แจ่มใส,8.3,27.8,75.0,7.6,23,23
เมืองชลบุรี,2023-01-30,แจ่มใส,4.6,28.6,70.3,8.9,23,25
เมืองชลบุรี,2023-02-06,มีเมฆบางส่วน,52.1,28.9,71.2,6.1,25,30
เมืองชลบุรี,2023-02-13,มีเมฆบางส่วน,29.8,29.1,67.1,6.1,30,30
เมืองชลบุรี,2023-02-20,มีเมฆบางส่วน,21.4,29.6,67.0,8.5,30,28
เมืองชลบุรี,2023-02-27,แจ่มใส,9.8,29.8,70.2,9.6,28,27
เมืองชลบุรี,2023-03-06,มีเมฆบางส่วน,18.7,30.6,62.8,7.3,27,26
เมืองชลบุรี,2023-03-13,แจ่มใส,0.0,30.0,75.5,6.0,26,30
เมืองชลบุรี,2023-03-20,แจ่มใส,0.0,29.9,68.8,9.3,30,29
เมืองชลบุรี,2023-03-27,มีเมฆบางส่วน,29.8,29.9,69.0,10.0,29,28
เมืองชลบุรี,2023-04-03,แจ่มใส,4.4,30.1,63.9,9.1,28,26
เมืองชลบุรี,2023-04-10,มีเมฆบางส่วน,47.7,30.5,74.0,9.4,26,28
เมืองชลบุรี,2023-04-17,มีเมฆบางส่วน,42.5,30.4,70.9,7.1,28,26
เมืองชลบุรี,2023-04-24,มีเมฆบางส่วน,43.2,30.5,72.8,9.1,26,30
เมืองชลบุรี,2023-05-01,ฝนตก,74.6,31.0,74.1,7.8,30,27
เมืองชลบุรี,2023-05-08,มีเมฆบางส่วน,28.2,30.2,66.1,8.9,27,25
เมืองชลบุรี,2023-05-15,มีเมฆบางส่วน,51.7,32.0,71.9,9.7,25,27
เมืองชลบุรี,2023-05-22,มีเมฆบางส่วน,55.5,30.4,72.4,9.9,27,24
เมืองชลบุรี,2023-05-29,ฝนตก,69.6,31.3,72.7,4.7,24,31
เมืองชลบุรี,2023-06-05,ฝนตก,75.9,31.0,76.5,11.7,31,32
เมืองชลบุรี,2023-06-12,มีเมฆมาก,65.0,31.0,76.2,11.1,32,35
เมืองชลบุรี,2023-06-19,ฝนตก,95.4,31.9,72.5,6.5,35,33
เมืองชลบุรี,2023-06-26,ฝนตก,78.9,29.9,79.9,7.5,33,29
เมืองชลบุรี,2023-07-03,ฝนตก,85.3,30.4,81.6,12.6,29,42
เมืองชลบุรี,2023-07-10,ฝนฟ้าคะนอง,116.7,29.5,70.2,8.6,42,34
เมืองชลบุรี,2023-07-17,ฝนตก,98.5,29.7,78.1,10.5,34,35
เมืองชลบุรี,2023-07-24,ฝนตก,104.1,29.4,71.1,6.9,35,34
เมืองชลบุรี,2023-07-31,ฝนฟ้าคะนอง,146.5,30.2,89.0,6.9,34,35
เมืองชลบุรี,2023-08-07,ฝนตก,93.8,28.7,89.0,6.1,35,38
เมืองชลบุรี,2023-08-14,ฝนตก,95.1,29.9,80.4,7.6,38,36
เมืองชลบุรี,2023-08-21,ฝนตก,100.6,29.5,76.8,5.2,36,31
เมืองชลบุรี,2023-08-28,ฝนฟ้าคะนอง,118.8,30.3,81.9,7.7,31,37
เมืองชลบุรี,2023-09-04,ฝนฟ้าคะนอง,136.4,28.4,80.9,10.5,37,38
เมืองชลบุรี,2023-09-11,ฝนฟ้าคะนอง,141.4,28.4,77.4,4.9,38,43
เมืองชลบุรี,2023-09-18,ฝนฟ้าคะนอง,145.6,28.1,82.1,11.4,43,35
เมืองชลบุรี,2023-09-25,ฝนตก,87.9,28.7,75.7,8.0,35,33
เมืองชลบุรี,2023-10-02,ฝนตก,94.9,28.5,78.9,9.5,33,27
เมืองชลบุรี,2023-10-09,ฝนตก,86.4,27.0,71.4,6.0,27,28
เมืองชลบุรี,2023-10-16,ฝนฟ้าคะนอง,107.6,26.6,80.0,6.9,28,30
เมืองชลบุรี,2023-10-23,ฝนฟ้าคะนอง,109.6,27.9,86.7,7.6,30,31
เมืองชลบุรี,2023-10-30,ฝนตก,82.6,27.7,78.0,5.5,31,32
เมืองชลบุรี,2023-11-06,ฝนตก,65.0,29.1,84.5,6.0,32,32
เมืองชลบุรี,2023-11-13,มีเมฆบางส่วน,27.8,26.9,72.6,10.8,32,25
เมืองชลบุรี,2023-11-20,มีเมฆบางส่วน,45.6,25.8,72.2,5.6,25,25
เมืองชลบุรี,2023-11-27,มีเมฆบางส่วน,40.7,27.2,63.7,4.6,25,32
เมืองชลบุรี,2023-12-04,มีเมฆมาก,4.2,26.8,77.6,14.7,32,22
เมืองชลบุรี,2023-12-11,มีเมฆมาก,24.4,27.8,79.3,5.7,22,25
เมืองชลบุรี,2023-12-18,มีเมฆบางส่วน,49.6,27.9,71.6,7.7,25,23
เมืองชลบุรี,2023-12-25,มีเมฆบางส่วน,27.3,27.4,72.2,6.7,23,26
เมืองชลบุรี,2024-01-01,มีเมฆบางส่วน,34.6,28.4,73.6,8.1,26,27
เมืองชลบุรี,2024-01-08,แจ่มใส,0.0,28.5,67.5,12.8,27,29
เมืองชลบุรี,2024-01-15,มีเมฆบางส่วน,20.9,27.7,64.7,10.7,29,26
เมืองชลบุรี,2024-01-22,มีเมฆบางส่วน,22.9,27.0,75.2,9.0,26,22
เมืองชลบุรี,2024-01-29,แจ่มใส,2.0,28.4,68.5,7.3,22,23
เมืองชลบุรี,2024-02-05,แจ่มใส,0.0,29.3,75.4,2.1,23,25
เมืองชลบุรี,2024-02-12,แจ่มใส,8.9,29.4,67.1,4.0,25,27
เมืองชลบุรี,2024-02-19,มีเมฆมาก,43.0,28.1,77.0,7.2,27,28
เมืองชลบุรี,2024-02-26,แจ่มใส,0.0,29.0,74.5,9.3,28,32
เมืองชลบุรี,2024-03-04,มีเมฆมาก,38.3,30.5,80.9,9.0,32,34
เมืองชลบุรี,2024-03-11,แจ่มใส,5.8,30.2,65.2,10.3,34,24
เมืองชลบุรี,2024-03-18,มีเมฆมาก,29.6,30.0,77.1,9.7,24,33
เมืองชลบุรี,2024-03-25,มีเมฆบางส่วน,28.4,29.0,70.8,5.3,33,28
เมืองชลบุรี,2024-04-01,ฝนตก,65.7,31.3,71.7,5.7,28,32
เมืองชลบุรี,2024-04-08,แจ่มใส,5.7,30.4,70.2,10.7,32,30
เมืองชลบุรี,2024-04-15,แจ่มใส,0.0,31.1,68.4,9.0,30,33
เมืองชลบุรี,2024-04-22,แจ่มใส,0.0,30.4,71.0,4.4,33,34
เมืองชลบุรี,2024-04-29,มีเมฆบางส่วน,40.6,31.4,69.6,9.9,34,35
เมืองชลบุรี,2024-05-06,ฝนตก,65.1,31.3,76.5,6.0,35,34
เมืองชลบุรี,2024-05-13,มีเมฆมาก,56.6,31.4,79.2,5.6,34,34
เมืองชลบุรี,2024-05-20,ฝนตก,92.6,30.6,74.1,8.5,34,37
เมืองชลบุรี,2024-05-27,มีเมฆมาก,60.3,32.0,78.9,9.9,37,37
เมืองชลบุรี,2024-06-03,ฝนฟ้าคะนอง,138.7,30.7,73.2,11.7,37,36
เมืองชลบุรี,2024-06-10,ฝนตก,89.9,31.8,69.9,5.1,36,31
เมืองชลบุรี,2024-06-17,ฝนตก,70.0,31.2,78.3,8.6,31,29
เมืองชลบุรี,2024-06-24,มีเมฆบางส่วน,36.7,30.9,69.7,9.1,29,32
เมืองชลบุรี,2024-07-01,ฝนฟ้าคะนอง,110.7,30.7,81.3,9.2,32,33
เมืองชลบุรี,2024-07-08,ฝนตก,103.7,30.3,83.5,7.1,33,38
เมืองชลบุรี,2024-07-15,ฝนตก,101.8,30.1,83.3,3.4,38,34
เมืองชลบุรี,2024-07-22,ฝนตก,75.0,28.5,72.9,9.7,34,31
เมืองชลบุรี,2024-07-29,ฝนฟ้าคะนอง,112.0,30.9,87.0,7.8,31,41
เมืองชลบุรี,2024-08-05,ฝนฟ้าคะนอง,117.0,28.6,77.9,4.6,41,35
เมืองชลบุรี,2024-08-12,ฝนฟ้าคะนอง,107.1,29.8,88.4,4.8,35,38
เมืองชลบุรี,2024-08-19,ฝนตก,92.1,29.5,77.5,3.8,38,39
เมืองชลบุรี,2024-08-26,ฝนตก,101.7,28.8,73.8,6.5,39,37
เมืองชลบุรี,2024-09-02,ฝนตก,103.5,28.5,81.2,11.0,37,34
เมืองชลบุรี,2024-09-09,ฝนตก,75.1,29.0,74.6,10.6,34,33
เมืองชลบุรี,2024-09-16,ฝนตก,104.7,28.5,89.3,12.8,33,35
เมืองชลบุรี,2024-09-23,ฝนฟ้าคะนอง,111.2,29.0,76.0,8.8,35,35
เมืองชลบุรี,2024-09-30,ฝนฟ้าคะนอง,114.5,27.7,72.7,3.2,35,31
เมืองชลบุรี,2024-10-07,ฝนตก,77.4,27.3,86.2,10.5,31,28
เมืองชลบุรี,2024-10-14,ฝนตก,95.1,27.3,77.0,8.4,28,32
